epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train/loss_epoch,train/loss_step,train/masked_tokens,train/variance_explained,val/effective_rank,val/loss,val/masked_tokens,val/rank_ceiling,val/rank_fraction,val/variance_explained
,3.125e-06,3.125e-06,19,,,,,,,,,,
0,,,19,,1.032936692237854,,,,,,,,
0,,,35,,,,,10.0,1.0292599201202393,144.0,21.0,0.4761904776096344,-0.029259953647851944
0,,,35,1.0464539527893066,,144.0,-0.046453896909952164,,,,,,
,6.25e-06,6.25e-06,39,,,,,,,,,,
1,,,39,,0.9048134684562683,,,,,,,,
,9.375e-06,9.375e-06,59,,,,,,,,,,
1,,,59,,0.9747549891471863,,,,,,,,
1,,,71,,,,,11.0,0.9951874017715454,144.0,21.0,0.523809552192688,0.004812609404325485
1,,,71,0.9281647205352783,,144.0,0.07183527201414108,,,,,,
,1.25e-05,1.25e-05,79,,,,,,,,,,
2,,,79,,0.825648307800293,,,,,,,,
,1.5625e-05,1.5625e-05,99,,,,,,,,,,
2,,,99,,0.856808602809906,,,,,,,,
2,,,107,,,,,7.0,0.9909142255783081,144.0,21.0,0.3333333432674408,0.00908578559756279
2,,,107,0.9154703617095947,,144.0,0.08452976495027542,,,,,,
,1.875e-05,1.875e-05,119,,,,,,,,,,
3,,,119,,0.8948936462402344,,,,,,,,
,2.1875e-05,2.1875e-05,139,,,,,,,,,,
3,,,139,,0.9541816711425781,,,,,,,,
3,,,143,,,,,5.0,0.966671884059906,144.0,21.0,0.2380952388048172,0.033328063786029816
3,,,143,0.906732976436615,,144.0,0.09326685965061188,,,,,,
,2.5e-05,2.5e-05,159,,,,,,,,,,
4,,,159,,0.9424653053283691,,,,,,,,
,2.8125000000000003e-05,2.8125000000000003e-05,179,,,,,,,,,,
4,,,179,,0.9919032454490662,,,,,,,,
4,,,179,,,,,4.0,0.9481819868087769,144.0,21.0,0.190476194024086,0.051818035542964935
4,,,179,0.8773139119148254,,144.0,0.12268611043691635,,,,,,
,3.125e-05,3.125e-05,199,,,,,,,,,,
5,,,199,,0.7770182490348816,,,,,,,,
5,,,215,,,,,4.0,0.9305166602134705,144.0,21.0,0.190476194024086,0.06948336213827133
5,,,215,0.860698938369751,,144.0,0.13930101692676544,,,,,,
,3.124644970478084e-05,3.124644970478084e-05,219,,,,,,,,,,
6,,,219,,0.8073722720146179,,,,,,,,
,3.123504337417979e-05,3.123504337417979e-05,239,,,,,,,,,,
6,,,239,,0.9166424870491028,,,,,,,,
6,,,251,,,,,4.0,0.9369328618049622,144.0,21.0,0.190476194024086,0.06306709349155426
6,,,251,0.8488389253616333,,144.0,0.1511610597372055,,,,,,
,3.121577691664359e-05,3.121577691664359e-05,259,,,,,,,,,,
7,,,259,,0.9054883122444153,,,,,,,,
,3.118866003341382e-05,3.118866003341382e-05,279,,,,,,,,,,
7,,,279,,0.8066139817237854,,,,,,,,
7,,,287,,,,,4.0,0.9158730506896973,144.0,21.0,0.190476194024086,0.08412696421146393
7,,,287,0.8513500094413757,,144.0,0.14865000545978546,,,,,,
,3.115370637865781e-05,3.115370637865781e-05,299,,,,,,,,,,
8,,,299,,0.9497146010398865,,,,,,,,
,3.1110933552593355e-05,3.1110933552593355e-05,319,,,,,,,,,,
8,,,319,,0.811497688293457,,,,,,,,
8,,,323,,,,,4.0,0.9095383882522583,144.0,21.0,0.190476194024086,0.09046158194541931
8,,,323,0.8396909236907959,,144.0,0.1603090614080429,,,,,,
,3.1060363092626485e-05,3.1060363092626485e-05,339,,,,,,,,,,
